No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
164,2013.5,8.5,104.8101,5,24.96674,121.54067
99,2013.417,16.4,289.3248,5,24.98203,121.54348
22,2013.417,10.5,279.1726,7,24.97528,121.54541
15,2013.5,13.2,1164.838,4,24.99156,121.53406
217,2013.25,37.8,590.9292,1,24.97153,121.53559
208,2013.083,38.5,665.0636,3,24.97503,121.53692
131,2013.25,29.6,535.527,8,24.98092,121.53653
95,2012.917,40.9,167.5989,5,24.9663,121.54026
310,2013.25,30.3,1264.73,0,24.94883,121.52954
52,2013.083,31.3,1758.406,1,24.95402,121.55282
23,2012.917,14.7,1360.139,1,24.95204,121.54842
166,2012.917,13.7,1236.564,1,24.97694,121.55391
398,2013.417,13.1,1164.838,4,24.99156,121.53406
373,2013.0,33.9,157.6052,7,24.96628,121.54196
92,2013.25,9.1,1402.016,0,24.98569,121.5276
144,2013.5,13.6,492.2313,5,24.96515,121.53737
96,2012.917,8.0,104.8101,5,24.96674,121.54067
44,2012.75,34.4,512.7871,6,24.98748,121.54301
239,2013.083,12.8,732.8528,0,24.97668,121.52518
207,2013.25,22.2,379.5575,10,24.98343,121.53762
311,2013.583,16.4,1643.499,2,24.95394,121.55174
404,2012.667,30.9,161.942,9,24.98353,121.53966
25,2013.0,39.6,480.6977,4,24.97353,121.53885
249,2013.0,19.0,1009.235,0,24.96357,121.54951
130,2013.417,38.5,216.8329,7,24.98086,121.54162
247,2013.417,16.4,389.8219,6,24.96412,121.54273
200,2013.417,18.2,451.6419,8,24.96945,121.5449
120,2013.5,16.6,289.3248,5,24.98203,121.54348
343,2012.667,5.7,90.45606,9,24.97433,121.5431
396,2012.917,21.2,512.5487,4,24.974,121.53842
281,2013.25,2.3,184.3302,6,24.96581,121.54086
394,2013.0,16.9,967.4,4,24.98872,121.53408
225,2013.333,34.5,324.9419,6,24.97814,121.5417
317,2013.25,13.3,250.631,7,24.96606,121.54297
287,2012.917,5.9,90.45606,9,24.97433,121.5431
76,2013.5,12.3,1360.139,1,24.95204,121.54842
251,2013.167,39.2,424.7132,7,24.97429,121.53917
407,2013.167,1.9,372.1386,7,24.97293,121.54026
286,2013.167,30.1,718.2937,3,24.97509,121.53644
170,2013.417,8.4,1962.628,1,24.95468,121.55481
54,2013.083,13.3,492.2313,5,24.96515,121.53737
323,2013.0,12.9,187.4823,1,24.97388,121.52981
230,2013.583,31.0,1156.412,0,24.9489,121.53095
191,2013.5,35.3,616.5735,8,24.97945,121.53642
148,2012.75,3.2,489.8821,8,24.97017,121.54494
228,2012.917,32.4,265.0609,8,24.98059,121.53986
154,2013.25,6.5,376.1709,6,24.95418,121.53713
382,2013.417,8.0,132.5469,9,24.98298,121.53981
374,2013.083,0.0,274.0144,1,24.9748,121.53059
219,2013.417,13.6,492.2313,5,24.96515,121.53737
242,2013.5,13.7,250.631,7,24.96606,121.54297
246,2013.417,7.5,639.6198,5,24.97258,121.54814
3,2013.583,13.3,561.9845,5,24.98746,121.54391
152,2013.5,4.9,387.7721,9,24.98118,121.53788
199,2013.083,34.0,157.6052,7,24.96628,121.54196
244,2013.417,32.8,204.1705,8,24.98236,121.53923
159,2013.0,11.6,390.5684,5,24.97937,121.54245
291,2013.083,37.7,490.3446,0,24.97217,121.53471
358,2013.417,0.0,338.9679,9,24.96853,121.54413
168,2013.417,28.2,330.0854,8,24.97408,121.54011
101,2013.5,17.5,964.7496,4,24.98872,121.53411
40,2013.167,16.2,289.3248,5,24.98203,121.54348
112,2013.583,33.3,196.6172,7,24.97701,121.54224
338,2012.833,31.3,600.8604,5,24.96871,121.54651
143,2013.417,19.8,640.6071,5,24.97017,121.54647
210,2012.833,34.8,175.6294,8,24.97347,121.54271
283,2012.917,2.0,1455.798,1,24.9512,121.549
175,2013.417,4.3,432.0385,7,24.9805,121.53778
265,2013.167,32.6,493.657,7,24.96968,121.54522
298,2012.833,34.9,567.0349,4,24.97003,121.5458
89,2012.917,8.9,1406.43,0,24.98573,121.52758
276,2012.667,1.5,23.38284,7,24.96772,121.54102
116,2013.083,20.6,737.9161,2,24.98092,121.54739
294,2012.667,12.6,383.2805,7,24.96735,121.54464
212,2013.083,0.0,274.0144,1,24.9748,121.53059
18,2012.75,17.7,350.8515,1,24.97544,121.53119
48,2013.583,35.9,640.7391,3,24.97563,121.53715
39,2012.667,3.1,577.9615,6,24.97201,121.54722
193,2013.167,43.8,57.58945,7,24.9675,121.54069
266,2012.833,15.7,815.9314,4,24.97886,121.53464
173,2013.583,6.6,90.45606,9,24.97433,121.5431
306,2013.083,16.2,289.3248,5,24.98203,121.54348
71,2013.583,6.6,90.45606,9,24.97433,121.5431
129,2013.083,41.3,124.9912,6,24.96674,121.54039
289,2013.583,16.6,323.6912,6,24.97841,121.5428
304,2013.5,38.3,439.7105,0,24.97161,121.53423
58,2012.917,3.5,56.47425,7,24.95744,121.53711
123,2013.25,31.5,414.9476,4,24.98199,121.54464
300,2013.167,33.2,121.7262,10,24.98178,121.54059
179,2013.5,13.1,1144.436,4,24.99176,121.53456
35,2012.75,15.4,205.367,7,24.98419,121.54243
405,2013.333,16.4,289.3248,5,24.98203,121.54348
192,2013.167,13.2,750.0704,2,24.97371,121.54951
322,2012.917,16.9,964.7496,4,24.98872,121.53411
1,2012.917,32.0,84.87882,10,24.98298,121.54024
371,2012.75,15.9,289.3248,5,24.98203,121.54348
375,2013.25,5.4,390.5684,5,24.97937,121.54245
135,2012.667,33.4,186.9686,6,24.96604,121.54211
357,2012.833,10.3,211.4473,1,24.97417,121.52999
138,2013.5,13.6,319.0708,6,24.96495,121.54277
226,2013.25,1.1,193.5845,6,24.96571,121.54089
133,2013.167,26.6,482.7581,5,24.97433,121.53863
51,2013.417,21.7,512.5487,4,24.974,121.53842
83,2013.083,13.2,150.9347,7,24.96725,121.54252
202,2013.417,13.1,561.9845,5,24.98746,121.54391
362,2013.083,41.4,281.205,8,24.97345,121.54093
315,2013.25,3.7,577.9615,6,24.97201,121.54722
336,2013.583,27.3,337.6016,6,24.96431,121.54063
16,2013.583,35.7,579.2083,2,24.9824,121.54619
411,2012.667,5.6,90.45606,9,24.97433,121.5431
273,2012.75,13.0,492.2313,5,24.96515,121.53737
378,2013.333,3.9,49.66105,8,24.95836,121.53756
38,2013.167,12.0,1360.139,1,24.95204,121.54842
302,2012.75,38.0,461.7848,0,24.97229,121.53445
5,2012.833,5.0,390.5684,5,24.97937,121.54245
161,2012.917,3.5,49.66105,8,24.95836,121.53756
45,2013.583,2.7,533.4762,4,24.97445,121.54765
285,2012.917,15.0,383.2805,7,24.96735,121.54464
216,2013.333,19.2,383.7129,8,24.972,121.54477
320,2013.25,34.6,272.6783,5,24.95562,121.53872
355,2013.417,12.2,1360.139,1,24.95204,121.54842
182,2013.167,11.6,201.8939,8,24.98489,121.54121
85,2013.083,15.1,383.2805,7,24.96735,121.54464
178,2013.083,33.0,181.0766,9,24.97697,121.54262
169,2013.083,27.6,515.1122,5,24.96299,121.5432
401,2013.25,26.8,482.7581,5,24.97433,121.53863
12,2013.333,6.3,90.45606,9,24.97433,121.5431
97,2013.417,6.4,90.45606,9,24.97433,121.5431
364,2013.5,32.3,109.9455,10,24.98182,121.54086
87,2012.833,1.8,1455.798,1,24.9512,121.549
64,2013.583,2.6,533.4762,4,24.97445,121.54765
324,2013.417,28.6,197.1338,6,24.97631,121.54436
209,2012.75,11.5,1360.139,1,24.95204,121.54842
57,2013.417,33.6,371.2495,8,24.97254,121.54059
162,2013.417,19.2,616.4004,3,24.97723,121.53767
379,2013.333,37.3,587.8877,8,24.97077,121.54634
292,2012.833,3.4,56.47425,7,24.95744,121.53711
205,2013.0,18.0,1414.837,1,24.95182,121.54887
32,2012.75,29.6,769.4034,7,24.98281,121.53408
359,2013.167,1.1,193.5845,6,24.96571,121.54089
146,2012.917,2.1,451.2438,5,24.97563,121.54694
109,2013.417,31.4,592.5006,2,24.9726,121.53561
282,2013.333,4.7,387.7721,9,24.98118,121.53788
288,2013.0,19.2,461.1016,5,24.95425,121.5399
55,2013.083,16.1,289.3248,5,24.98203,121.54348
334,2012.75,7.8,104.8101,5,24.96674,121.54067
403,2012.833,12.7,187.4823,1,24.97388,121.52981
356,2013.25,3.8,383.8624,5,24.98085,121.54391
272,2012.917,17.7,451.6419,8,24.96945,121.5449
20,2012.667,1.5,23.38284,7,24.96772,121.54102
67,2013.0,1.0,193.5845,6,24.96571,121.54089
128,2013.25,3.8,383.8624,5,24.98085,121.54391
363,2013.417,17.1,967.4,4,24.98872,121.53408
307,2013.5,14.4,169.9803,1,24.97369,121.52979
392,2013.583,6.2,1939.749,1,24.95155,121.55387
274,2013.417,13.2,170.1289,1,24.97371,121.52984
214,2013.083,6.2,90.45606,9,24.97433,121.5431
62,2013.5,5.3,259.6607,6,24.97585,121.54516
293,2013.083,17.5,395.6747,5,24.95674,121.534
197,2013.0,22.8,707.9067,2,24.981,121.54713
258,2013.25,17.3,444.1334,1,24.97501,121.5273
297,2012.75,12.5,1144.436,4,24.99176,121.53456
349,2012.833,4.6,259.6607,6,24.97585,121.54516
4,2013.5,13.3,561.9845,5,24.98746,121.54391
140,2012.667,12.9,492.2313,5,24.96515,121.53737
73,2013.583,32.5,424.5442,8,24.97587,121.53913
2,2012.917,19.5,306.5947,9,24.98034,121.53951
69,2013.417,30.4,464.223,6,24.97964,121.53805
108,2013.333,12.2,1360.139,1,24.95204,121.54842
279,2012.75,0.0,208.3905,6,24.95618,121.53844
47,2013.417,21.7,463.9623,9,24.9703,121.54458
125,2012.917,9.9,279.1726,7,24.97528,121.54541
72,2013.083,35.5,640.7391,3,24.97563,121.53715
361,2012.667,32.9,87.30222,10,24.983,121.54022
326,2013.083,36.6,488.8193,8,24.97015,121.54494
19,2013.417,16.9,368.1363,8,24.9675,121.54451
122,2013.5,13.6,492.2313,5,24.96515,121.53737
220,2012.75,29.3,529.7771,8,24.98102,121.53655
406,2012.667,23.0,130.9945,6,24.95663,121.53765
176,2013.083,30.2,472.1745,3,24.97005,121.53758
397,2012.667,37.1,918.6357,1,24.97198,121.55063
328,2013.417,3.5,757.3377,3,24.97538,121.54971
75,2012.917,6.8,379.5575,10,24.98343,121.53762
70,2012.833,12.5,561.9845,5,24.98746,121.54391
234,2013.333,39.7,333.3679,9,24.98016,121.53932
257,2012.667,14.6,339.2289,1,24.97519,121.53151
413,2013.0,8.1,104.8101,5,24.96674,121.54067
253,2012.833,5.9,90.45606,9,24.97433,121.5431
224,2013.25,9.1,1402.016,0,24.98569,121.5276
80,2013.0,18.0,1414.837,1,24.95182,121.54887
68,2013.5,8.5,104.8101,5,24.96674,121.54067
318,2012.75,15.6,752.7669,2,24.97795,121.53451
342,2013.0,13.0,750.0704,2,24.97371,121.54951
29,2013.5,19.2,557.478,4,24.97419,121.53797
213,2013.333,17.6,1805.665,2,24.98672,121.52091
376,2013.25,21.7,1157.988,0,24.96165,121.55011
259,2013.417,0.0,292.9978,6,24.97744,121.54458
350,2012.75,7.8,104.8101,5,24.96674,121.54067
201,2013.417,17.4,995.7554,0,24.96305,121.54915
172,2013.083,3.6,383.8624,5,24.98085,121.54391
203,2012.917,38.3,642.6985,3,24.97559,121.53713
134,2012.833,18.0,373.3937,8,24.9866,121.54082
121,2013.167,13.3,492.2313,5,24.96515,121.53737
290,2013.333,13.9,289.3248,5,24.98203,121.54348
160,2012.667,15.5,815.9314,4,24.97886,121.53464
414,2013.5,6.5,90.45606,9,24.97433,121.5431
28,2013.25,10.4,276.449,5,24.95593,121.53913
255,2012.667,1.1,329.9747,5,24.98254,121.54395
98,2013.083,28.4,617.4424,3,24.97746,121.53299
141,2013.25,16.2,289.3248,5,24.98203,121.54348
369,2013.417,18.2,350.8515,1,24.97544,121.53119
137,2012.75,11.4,390.5684,5,24.97937,121.54245
