No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
8,2013.417,20.3,287.6025,6,24.98042,121.54228
195,2013.5,15.2,3771.895,0,24.93363,121.51158
20,2012.667,1.5,23.38284,7,24.96772,121.54102
177,2012.833,13.9,4573.779,0,24.94867,121.49507
368,2012.833,15.0,1828.319,2,24.96464,121.51531
305,2013.417,20.0,1626.083,3,24.96622,121.51668
199,2013.083,34.0,157.6052,7,24.96628,121.54196
146,2012.917,2.1,451.2438,5,24.97563,121.54694
266,2012.833,15.7,815.9314,4,24.97886,121.53464
110,2013.583,4.0,2147.376,3,24.96299,121.51284
203,2012.917,38.3,642.6985,3,24.97559,121.53713
197,2013.0,22.8,707.9067,2,24.981,121.54713
397,2012.667,37.1,918.6357,1,24.97198,121.55063
240,2013.5,18.1,837.7233,0,24.96334,121.54767
84,2012.917,25.3,2707.392,3,24.96056,121.50831
169,2013.083,27.6,515.1122,5,24.96299,121.5432
324,2013.417,28.6,197.1338,6,24.97631,121.54436
75,2012.917,6.8,379.5575,10,24.98343,121.53762
384,2012.667,29.1,506.1144,4,24.97845,121.53889
120,2013.5,16.6,289.3248,5,24.98203,121.54348
210,2012.833,34.8,175.6294,8,24.97347,121.54271
220,2012.75,29.3,529.7771,8,24.98102,121.53655
154,2013.25,6.5,376.1709,6,24.95418,121.53713
178,2013.083,33.0,181.0766,9,24.97697,121.54262
388,2013.25,16.2,2103.555,3,24.96042,121.51462
372,2013.5,4.1,312.8963,5,24.95591,121.53956
37,2012.917,14.7,1935.009,2,24.96386,121.51458
140,2012.667,12.9,492.2313,5,24.96515,121.53737
339,2012.917,31.5,258.186,9,24.96867,121.54331
173,2013.583,6.6,90.45606,9,24.97433,121.5431
212,2013.083,0.0,274.0144,1,24.9748,121.53059
333,2013.167,39.8,617.7134,2,24.97577,121.53475
60,2013.083,13.3,336.0532,5,24.95776,121.53438
112,2013.583,33.3,196.6172,7,24.97701,121.54224
285,2012.917,15.0,383.2805,7,24.96735,121.54464
326,2013.083,36.6,488.8193,8,24.97015,121.54494
7,2012.667,34.5,623.4731,7,24.97933,121.53642
300,2013.167,33.2,121.7262,10,24.98178,121.54059
286,2013.167,30.1,718.2937,3,24.97509,121.53644
159,2013.0,11.6,390.5684,5,24.97937,121.54245
151,2013.25,35.8,170.7311,7,24.96719,121.54269
11,2013.083,34.8,405.2134,1,24.97349,121.53372
332,2013.333,25.6,4519.69,0,24.94826,121.49587
104,2012.75,0.0,208.3905,6,24.95618,121.53844
82,2013.0,30.8,377.7956,6,24.96427,121.53964
279,2012.75,0.0,208.3905,6,24.95618,121.53844
259,2013.417,0.0,292.9978,6,24.97744,121.54458
168,2013.417,28.2,330.0854,8,24.97408,121.54011
389,2013.5,10.4,2251.938,4,24.95957,121.51353
224,2013.25,9.1,1402.016,0,24.98569,121.5276
230,2013.583,31.0,1156.412,0,24.9489,121.53095
182,2013.167,11.6,201.8939,8,24.98489,121.54121
228,2012.917,32.4,265.0609,8,24.98059,121.53986
90,2013.5,23.0,3947.945,0,24.94783,121.50243
390,2013.25,40.9,122.3619,8,24.96756,121.5423
164,2013.5,8.5,104.8101,5,24.96674,121.54067
148,2012.75,3.2,489.8821,8,24.97017,121.54494
247,2013.417,16.4,389.8219,6,24.96412,121.54273
93,2012.917,20.6,2469.645,4,24.96108,121.51046
70,2012.833,12.5,561.9845,5,24.98746,121.54391
124,2013.417,0.0,185.4296,0,24.9711,121.5317
97,2013.417,6.4,90.45606,9,24.97433,121.5431
144,2013.5,13.6,492.2313,5,24.96515,121.53737
363,2013.417,17.1,967.4,4,24.98872,121.53408
98,2013.083,28.4,617.4424,3,24.97746,121.53299
250,2012.833,18.0,6306.153,1,24.95743,121.47516
69,2013.417,30.4,464.223,6,24.97964,121.53805
24,2013.083,10.1,279.1726,7,24.97528,121.54541
38,2013.167,12.0,1360.139,1,24.95204,121.54842
145,2013.083,11.9,1360.139,1,24.95204,121.54842
123,2013.25,31.5,414.9476,4,24.98199,121.54464
229,2013.417,11.9,3171.329,0,25.00115,121.51776
183,2013.5,13.5,2147.376,3,24.96299,121.51284
68,2013.5,8.5,104.8101,5,24.96674,121.54067
341,2013.333,33.6,270.8895,0,24.97281,121.53265
245,2013.083,4.8,1559.827,3,24.97213,121.51627
395,2013.5,32.6,4136.271,1,24.95544,121.4963
385,2012.75,16.1,4066.587,0,24.94297,121.50342
330,2013.0,13.6,4197.349,0,24.93885,121.50383
