No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
222,2013.333,9.0,1402.016,0,24.98569,121.5276
21,2013.417,4.5,2275.877,3,24.96314,121.51151
398,2013.417,13.1,1164.838,4,24.99156,121.53406
91,2012.833,0.0,274.0144,1,24.9748,121.53059
191,2013.5,35.3,616.5735,8,24.97945,121.53642
20,2012.667,1.5,23.38284,7,24.96772,121.54102
224,2013.25,9.1,1402.016,0,24.98569,121.5276
116,2013.083,20.6,737.9161,2,24.98092,121.54739
322,2012.917,16.9,964.7496,4,24.98872,121.53411
132,2013.5,4.0,2147.376,3,24.96299,121.51284
393,2013.083,42.7,443.802,6,24.97927,121.53874
34,2013.25,16.5,323.655,6,24.97841,121.54281
40,2013.167,16.2,289.3248,5,24.98203,121.54348
178,2013.083,33.0,181.0766,9,24.97697,121.54262
208,2013.083,38.5,665.0636,3,24.97503,121.53692
192,2013.167,13.2,750.0704,2,24.97371,121.54951
341,2013.333,33.6,270.8895,0,24.97281,121.53265
154,2013.25,6.5,376.1709,6,24.95418,121.53713
377,2013.417,14.7,1717.193,2,24.96447,121.51649
200,2013.417,18.2,451.6419,8,24.96945,121.5449
68,2013.5,8.5,104.8101,5,24.96674,121.54067
125,2012.917,9.9,279.1726,7,24.97528,121.54541
166,2012.917,13.7,1236.564,1,24.97694,121.55391
7,2012.667,34.5,623.4731,7,24.97933,121.53642
306,2013.083,16.2,289.3248,5,24.98203,121.54348
286,2013.167,30.1,718.2937,3,24.97509,121.53644
12,2013.333,6.3,90.45606,9,24.97433,121.5431
270,2013.0,17.6,837.7233,0,24.96334,121.54767
115,2012.667,30.6,143.8383,8,24.98155,121.54142
93,2012.917,20.6,2469.645,4,24.96108,121.51046
207,2013.25,22.2,379.5575,10,24.98343,121.53762
298,2012.833,34.9,567.0349,4,24.97003,121.5458
254,2012.667,30.4,1735.595,2,24.96464,121.51623
335,2012.917,30.0,1013.341,5,24.99006,121.5346
396,2012.917,21.2,512.5487,4,24.974,121.53842
358,2013.417,0.0,338.9679,9,24.96853,121.54413
165,2012.833,0.0,185.4296,0,24.9711,121.5317
231,2013.5,4.0,2147.376,3,24.96299,121.51284
104,2012.75,0.0,208.3905,6,24.95618,121.53844
79,2012.917,38.2,552.4371,2,24.97598,121.53381
387,2012.833,0.0,185.4296,0,24.9711,121.5317
108,2013.333,12.2,1360.139,1,24.95204,121.54842
160,2012.667,15.5,815.9314,4,24.97886,121.53464
317,2013.25,13.3,250.631,7,24.96606,121.54297
109,2013.417,31.4,592.5006,2,24.9726,121.53561
356,2013.25,3.8,383.8624,5,24.98085,121.54391
78,2012.833,20.5,2185.128,3,24.96322,121.51237
25,2013.0,39.6,480.6977,4,24.97353,121.53885
43,2013.417,36.1,519.4617,5,24.96305,121.53758
161,2012.917,3.5,49.66105,8,24.95836,121.53756
136,2012.917,18.9,1009.235,0,24.96357,121.54951
77,2013.583,35.9,616.4004,3,24.97723,121.53767
187,2013.167,20.9,2185.128,3,24.96322,121.51237
397,2012.667,37.1,918.6357,1,24.97198,121.55063
333,2013.167,39.8,617.7134,2,24.97577,121.53475
198,2013.25,34.4,126.7286,8,24.96881,121.54089
139,2013.167,10.0,942.4664,0,24.97843,121.52406
164,2013.5,8.5,104.8101,5,24.96674,121.54067
240,2013.5,18.1,837.7233,0,24.96334,121.54767
98,2013.083,28.4,617.4424,3,24.97746,121.53299
352,2012.833,4.0,2180.245,3,24.96324,121.51241
206,2013.083,12.8,1449.722,3,24.97289,121.51728
389,2013.5,10.4,2251.938,4,24.95957,121.51353
202,2013.417,13.1,561.9845,5,24.98746,121.54391
316,2013.083,15.6,1756.411,2,24.9832,121.51812
408,2013.0,5.2,2408.993,0,24.95505,121.55964
295,2013.5,26.4,335.5273,6,24.9796,121.5414
327,2013.5,4.1,56.47425,7,24.95744,121.53711
294,2012.667,12.6,383.2805,7,24.96735,121.54464
143,2013.417,19.8,640.6071,5,24.97017,121.54647
44,2012.75,34.4,512.7871,6,24.98748,121.54301
13,2012.917,13.0,492.2313,5,24.96515,121.53737
278,2013.417,21.2,2185.128,3,24.96322,121.51237
210,2012.833,34.8,175.6294,8,24.97347,121.54271
343,2012.667,5.7,90.45606,9,24.97433,121.5431
126,2013.167,1.1,193.5845,6,24.96571,121.54089
204,2012.667,15.6,289.3248,5,24.98203,121.54348
277,2013.0,19.1,461.1016,5,24.95425,121.5399
264,2013.417,3.9,2147.376,3,24.96299,121.51284
131,2013.25,29.6,535.527,8,24.98092,121.53653
382,2013.417,8.0,132.5469,9,24.98298,121.53981
400,2012.917,12.7,170.1289,1,24.97371,121.52984
300,2013.167,33.2,121.7262,10,24.98178,121.54059
376,2013.25,21.7,1157.988,0,24.96165,121.55011
186,2012.75,31.4,1447.286,3,24.97285,121.5173
255,2012.667,1.1,329.9747,5,24.98254,121.54395
151,2013.25,35.8,170.7311,7,24.96719,121.54269
173,2013.583,6.6,90.45606,9,24.97433,121.5431
225,2013.333,34.5,324.9419,6,24.97814,121.5417
223,2013.583,30.6,431.1114,10,24.98123,121.53743
406,2012.667,23.0,130.9945,6,24.95663,121.53765
3,2013.583,13.3,561.9845,5,24.98746,121.54391
328,2013.417,3.5,757.3377,3,24.97538,121.54971
129,2013.083,41.3,124.9912,6,24.96674,121.54039
239,2013.083,12.8,732.8528,0,24.97668,121.52518
241,2013.083,11.0,1712.632,2,24.96412,121.5167
28,2013.25,10.4,276.449,5,24.95593,121.53913
134,2012.833,18.0,373.3937,8,24.9866,121.54082
320,2013.25,34.6,272.6783,5,24.95562,121.53872
302,2012.75,38.0,461.7848,0,24.97229,121.53445
373,2013.0,33.9,157.6052,7,24.96628,121.54196
141,2013.25,16.2,289.3248,5,24.98203,121.54348
84,2012.917,25.3,2707.392,3,24.96056,121.50831
338,2012.833,31.3,600.8604,5,24.96871,121.54651
32,2012.75,29.6,769.4034,7,24.98281,121.53408
95,2012.917,40.9,167.5989,5,24.9663,121.54026
371,2012.75,15.9,289.3248,5,24.98203,121.54348
121,2013.167,13.3,492.2313,5,24.96515,121.53737
275,2013.167,27.5,394.0173,7,24.97305,121.53994
362,2013.083,41.4,281.205,8,24.97345,121.54093
147,2012.75,0.0,185.4296,0,24.9711,121.5317
209,2012.75,11.5,1360.139,1,24.95204,121.54842
342,2013.0,13.0,750.0704,2,24.97371,121.54951
52,2013.083,31.3,1758.406,1,24.95402,121.55282
381,2013.333,14.1,289.3248,5,24.98203,121.54348
75,2012.917,6.8,379.5575,10,24.98343,121.53762
310,2013.25,30.3,1264.73,0,24.94883,121.52954
97,2013.417,6.4,90.45606,9,24.97433,121.5431
211,2013.5,5.2,390.5684,5,24.97937,121.54245
80,2013.0,18.0,1414.837,1,24.95182,121.54887
179,2013.5,13.1,1144.436,4,24.99176,121.53456
14,2012.667,20.4,2469.645,4,24.96108,121.51046
39,2012.667,3.1,577.9615,6,24.97201,121.54722
30,2013.083,7.1,451.2438,5,24.97563,121.54694
