X1 transaction date,X2 house age,X4 number of convenience stores,X5 latitude,X6 longitude,Year,Log_Distance,QualityIndex
2013.333,9.0,0,24.98569,121.5276,2013,7.246379484171433,0.0
2013.417,4.5,3,24.96314,121.51151,2013,7.730560046159368,0.0013175942310454187
2013.417,13.1,4,24.99156,121.53406,2013,7.0611954207227,0.003431008424841187
2012.833,0.0,1,24.9748,121.53059,2012,5.616823459932007,0.003636173233110702
2013.5,35.3,8,24.97945,121.53642,2013,6.425798089758902,0.01295392370300863
2012.667,1.5,7,24.96772,121.54102,2012,3.1938796061941663,0.2870871481746999
2013.25,9.1,0,24.98569,121.5276,2013,7.246379484171433,0.0
2013.083,20.6,2,24.98092,121.54739,2013,6.60518438270325,0.0027066672386756763
2012.917,16.9,4,24.98872,121.53411,2012,6.872904587360439,0.0041418603745732845
2013.5,4.0,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.083,42.7,6,24.97927,121.53874,2013,6.097629239329142,0.013489147980449728
2013.25,16.5,6,24.97841,121.54281,2013,5.782763080037192,0.01848115692042322
2013.167,16.2,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.083,33.0,9,24.97697,121.54262,2013,5.204427477652901,0.04942974550271698
2013.083,38.5,3,24.97503,121.53692,2013,6.50138516147648,0.004504074385689295
2013.167,13.2,2,24.97371,121.54951,2013,6.621499389048421,0.002662866223991786
2013.333,33.6,0,24.97281,121.53265,2013,5.6053957337541105,0.0
2013.25,6.5,6,24.95418,121.53713,2013,5.93269840038138,0.015907908059715106
2013.417,14.7,2,24.96447,121.51649,2013,7.449028436164695,0.0011640135886946345
2013.417,18.2,8,24.96945,121.5449,2013,6.115101305140771,0.01767401559599321
2013.5,8.5,5,24.96674,121.54067,2013,4.66164597800588,0.047254468146235566
2012.917,9.9,7,24.97528,121.54541,2012,5.6354058418266275,0.024984598779466658
2012.917,13.7,1,24.97694,121.55391,2012,7.120900210277275,0.0008080390185881295
2012.667,34.5,7,24.97933,121.53642,2012,6.436908254178333,0.011209450014740425
2013.083,16.2,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.167,30.1,3,24.97509,121.53644,2013,6.578269758319731,0.004170758064473525
2013.333,6.3,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.0,17.6,0,24.96334,121.54767,2013,6.731880854694261,0.0
2012.667,30.6,8,24.98155,121.54142,2012,4.975617947739359,0.055234009236507196
2012.917,20.6,4,24.96108,121.51046,2012,7.812234529135817,0.001619010420355818
2013.25,22.2,10,24.98343,121.53762,2013,5.941637282836104,0.02627723799951387
2012.833,34.9,4,24.97003,121.5458,2012,6.342182860495539,0.007041820845867041
2012.667,30.4,2,24.96464,121.51623,2012,7.459681578433179,0.0011516790040279972
2012.917,30.0,5,24.99006,121.5346,2012,6.9219944195308925,0.004929308782746631
2012.917,21.2,4,24.974,121.53842,2012,6.241344864209525,0.007788939977844359
2013.417,0.0,9,24.96853,121.54413,2013,5.82885120138843,0.026473087606212236
2012.833,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2013.5,4.0,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2012.75,0.0,6,24.95618,121.53844,2012,5.344200929690003,0.028654595122510333
2012.917,38.2,2,24.97598,121.53381,2012,6.316148105221386,0.0036137801387004956
2012.833,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2013.333,12.2,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2012.667,15.5,4,24.97886,121.53464,2012,6.70555512560641,0.004896371959750843
2013.25,13.3,7,24.96606,121.54297,2013,5.52796372868312,0.02781851202753238
2013.417,31.4,2,24.9726,121.53561,2013,6.386038225001191,0.0033698365258602943
2013.25,3.8,5,24.98085,121.54391,2013,5.9528858678068515,0.01299165623869726
2012.833,20.5,3,24.96322,121.51237,2012,7.689887221459569,0.0013722892712595054
2013.0,39.6,4,24.97353,121.53885,2013,6.177316738868703,0.008303963253301811
2013.417,36.1,5,24.96305,121.53758,2013,6.254716302254475,0.009606854836772812
2012.917,3.5,8,24.95836,121.53756,2012,3.92515737077011,0.1579122422452752
2012.917,18.9,0,24.96357,121.54951,2012,6.917938256038405,0.0
2013.583,35.9,3,24.97723,121.53767,2013,6.425517759946048,0.004859083343645388
2013.167,20.9,3,24.96322,121.51237,2013,7.689887221459569,0.0013722892712595054
2012.667,37.1,1,24.97198,121.55063,2012,6.823977613362122,0.001087387103393224
2013.167,39.8,2,24.97577,121.53475,2013,6.427642160618229,0.0032325144404501344
2013.25,34.4,8,24.96881,121.54089,2013,4.849907700374559,0.06263280111110589
2013.167,10.0,0,24.97843,121.52406,2013,6.849560752091809,0.0
2013.5,8.5,5,24.96674,121.54067,2013,4.66164597800588,0.047254468146235566
2013.5,18.1,0,24.96334,121.54767,2013,6.731880854694261,0.0
2013.083,28.4,3,24.97746,121.53299,2013,6.4272040589590285,0.0048508963809725855
2012.833,4.0,3,24.96324,121.51241,2012,7.6876510936845,0.0013753613188798141
2013.083,12.8,3,24.97289,121.51728,2013,7.279816642522581,0.0020679358278153912
2013.5,10.4,4,24.95957,121.51353,2013,7.7199904211898565,0.0017754594223187677
2013.417,13.1,5,24.98746,121.54391,2013,6.333252096677222,0.008881239181540521
2013.083,15.6,2,24.9832,121.51812,2013,7.4715969822887685,0.0011380377157079362
2013.0,5.2,0,24.95505,121.55964,2013,7.787379121916167,0.0
2013.5,26.4,6,24.9796,121.5414,2013,5.8186792750658975,0.017829162745488996
2013.5,4.1,7,24.95744,121.53711,2013,4.051337021412299,0.12179367281869707
2012.667,12.6,7,24.96735,121.54464,2012,5.951372754675281,0.018215860549780694
2013.417,19.8,5,24.97017,121.54647,2013,6.463976122575864,0.007792931219121485
2012.75,34.4,6,24.98748,121.54301,2012,6.241808977315053,0.011677988801198006
2012.917,13.0,5,24.96515,121.53737,2012,6.200978232374626,0.010137231761244675
2013.417,21.2,3,24.96322,121.51237,2013,7.689887221459569,0.0013722892712595054
2012.833,34.8,8,24.97347,121.54271,2012,5.174053752230144,0.04529257303710481
2012.667,5.7,9,24.97433,121.5431,2012,4.515858638360371,0.0984079130458933
2013.167,1.1,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2012.667,15.6,5,24.98203,121.54348,2012,5.671000296248436,0.017222090568907653
2013.0,19.1,5,24.95425,121.5399,2013,6.135784780324241,0.010820131330426036
2013.417,3.9,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.25,29.6,8,24.98092,121.53653,2013,6.28511688699269,0.014910712787986438
2013.417,8.0,9,24.98298,121.53981,2013,4.894452727006516,0.06739205477626213
2012.917,12.7,1,24.97371,121.52984,2012,5.142417073706842,0.005843548342798908
2013.167,33.2,10,24.98178,121.54059,2013,4.809955857855163,0.08148219369621157
2013.25,21.7,0,24.96165,121.55011,2013,7.055302489532916,0.0
